smiles,DockingScore
Clc1ccc(c(c1)O)Oc1cccc(n1)F,-9.431020736694336
O[C@H](C1=CCCC1=O)CCc1ccccc1,-9.430870056152344
Oc1cc2c(=O)[nH]cnc2c(c1O)O,-9.428936958312988
OC1(CC[NH+](CC1)C)/C=C\C1(O)CC[NH+](CC1)C,-9.42702865600586
Clc1ccc(cc1)Cc1nc2c(Cl)cccc2c(c1O)C(=O)[O-],-9.426397323608398
OCC(CO)(CO)CO,-9.425844192504885
CCCNC(=O)c1cccc(c1)C(=O)NCC(Cc1ccccc1)O,-9.414302825927734
OC[C@@H]([C@@H]([C@H]([C@@H](O)C)O)O)O,-9.413275718688965
OC(Cn1cnc2c1c(O)ncn2)CN1C(=O)c2c(C1=O)cccc2,-9.408296585083008
ON1CCc2c(C1=O)cccc2,-9.408243179321287
C[C@H]1O[C@H]([C@@H]([C@@H]1O)O)n1cnc2c1nc[nH]c2=O,-9.407719612121582
